time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
0,0,0,0,16,0,0
2,0,0,0,12,4,0
3,0,0,0,7,9,0
4,0,0,0,3,13,0
21,0,0,0,1,15,0
30,0,0,1,0,15,0
31,1,0,0,0,15,0
151,1,0,0,0,15,0
153,1,0,0,0,15,0
154,0,1,0,4,11,0
155,0,0,0,0,16,0
171,0,0,0,2,14,0
201,0,0,2,0,14,0
202,2,0,0,0,14,0
300,1,1,0,4,10,0
301,1,0,0,0,15,0
304,1,0,0,0,15,0
305,0,1,0,1,14,0
306,0,0,0,0,16,0
452,0,0,0,4,12,0
453,0,0,0,1,15,0
454,0,0,0,1,15,0
457,0,0,0,1,15,0
483,0,0,1,0,15,0
484,1,0,0,0,15,0
604,0,1,0,1,14,0
605,0,0,0,0,16,0
606,0,0,0,0,16,0
607,0,0,0,0,16,0
752,0,0,0,2,14,0
755,0,0,0,1,15,0
756,0,0,0,1,15,0
757,0,0,0,0,16,0
758,0,0,0,0,16,0
904,0,0,0,0,16,0
905,0,0,0,2,14,0
907,0,0,0,0,16,0
911,0,0,0,0,16,0
1052,0,0,0,4,12,0
1056,0,0,0,1,15,0
1057,0,0,0,0,16,0
1204,0,0,0,0,16,0
1207,0,0,0,0,16,0
1210,0,0,0,2,14,0
1240,0,0,2,0,14,0
1241,2,0,0,0,14,0
1352,0,2,0,5,9,0
1353,0,0,0,0,16,0
1356,0,0,0,0,16,0
1361,0,0,0,0,16,0
1501,0,0,0,2,14,0
1506,0,0,0,1,15,0
1516,0,0,0,1,15,0
1536,0,0,1,0,15,0
1537,1,0,0,0,15,0
1652,1,0,0,0,15,0
1657,0,1,0,5,10,0
1658,0,0,0,0,16,0
1666,0,0,0,0,16,0
1802,0,0,0,0,16,0
1806,0,0,0,2,14,0
1816,0,0,0,3,13,0
1836,0,0,2,1,13,0
1837,2,0,0,1,13,0
1846,2,0,1,0,13,0
1847,3,0,0,0,13,0
1952,0,3,0,2,11,0
1953,0,0,0,0,16,0
1955,0,0,0,3,13,0
1958,0,0,0,2,14,0
1964,0,0,0,1,15,0
1988,0,0,1,0,15,0
1989,1,0,0,0,15,0
2101,0,1,0,5,10,0
2102,0,0,0,2,14,0
2104,0,0,0,0,16,0
2112,0,0,0,0,16,0
2247,0,0,0,0,16,0
2253,0,0,0,0,16,0
2254,0,0,0,0,16,0
2263,0,0,0,1,15,0
2293,0,0,1,0,15,0
2294,1,0,0,0,15,0
2397,0,1,0,4,11,0
2398,0,0,0,0,16,0
2402,0,0,0,3,13,0
2403,0,0,0,2,14,0
2412,0,0,0,1,15,0
2433,0,0,1,0,15,0
2434,1,0,0,0,15,0
2548,1,0,0,0,15,0
2554,1,0,0,1,14,0
2563,0,1,0,2,13,0
2564,0,0,0,0,16,0
2697,0,0,0,1,15,0
2702,0,0,0,5,11,0
2714,0,0,0,2,14,0
2717,0,0,0,2,14,0
2744,0,0,2,0,14,0
2745,2,0,0,0,14,0
2845,2,0,0,0,14,0
2863,1,1,0,2,12,0
2864,1,0,0,0,15,0
2865,0,1,0,4,11,0
2866,0,0,0,0,16,0
2995,0,0,0,0,16,0
3013,0,0,0,0,16,0
3015,0,0,0,2,14,0
3045,0,0,2,0,14,0
3046,2,0,0,0,14,0
3148,1,1,0,4,10,0
3149,1,0,0,0,15,0
3161,0,1,0,5,10,0
3162,0,0,0,1,15,0
3163,0,0,0,2,14,0
3191,0,0,1,1,14,0
3192,1,0,0,1,14,0
3193,1,0,1,0,14,0
3194,2,0,0,0,14,0
3301,1,1,0,5,9,0
3302,1,0,0,1,14,0
3313,0,1,0,6,9,0
3314,0,0,0,0,16,0
3316,0,0,0,0,16,0
3449,0,0,0,0,16,0
3465,0,0,0,0,16,0
3466,0,0,0,2,14,0
3496,0,0,2,0,14,0
3497,2,0,0,0,14,0
3599,2,0,0,0,14,0
3613,2,0,0,0,14,0
3620,0,2,0,1,13,0
3621,0,0,0,0,16,0
3752,0,0,0,1,15,0
3768,0,0,0,2,14,0
3769,0,0,0,0,16,0
3902,0,0,0,0,16,0
3916,0,0,0,0,16,0
3923,0,0,0,2,14,0
3953,0,0,2,0,14,0
3954,2,0,0,0,14,0
4053,0,2,0,4,10,0
4054,0,0,0,0,16,0
4064,0,0,0,1,15,0
4073,0,0,0,0,16,0
4204,0,0,0,1,15,0
4212,0,0,0,2,14,0
4221,0,0,0,2,14,0
4234,0,0,1,1,14,0
4235,1,0,0,1,14,0
4251,1,0,1,0,14,0
4252,2,0,0,0,14,0
4356,2,0,0,1,13,0
4360,2,0,0,5,9,0
4370,2,0,0,10,4,0
4386,2,0,1,9,4,0
4387,3,0,0,9,4,0
4390,3,0,4,5,4,0
4391,7,0,0,5,4,0
4400,7,0,5,0,4,0
4401,12,0,0,0,4,0
4505,12,0,0,4,0,0
4535,12,0,4,0,0,0
4536,16,0,0,0,0,0
