type,starting_time,finish_time,allocated_resources,job_id
idle,0,20,0 1 2 3,-1
computing,20,40,0 1,1
idle,20,23,2 3,-1
computing,23,44,2 3,2
idle,40,44,0 1,-1
idle,44,49,0 1 2 3,-1
computing,49,71,0 1,3
idle,49,53,2 3,-1
computing,53,72,2 3,4
computing,71,95,0 1,5
computing,72,91,2 3,6
computing,91,110,2 3,7
idle,95,106,0 1,-1
computing,106,126,0 1,8
idle,110,126,2 3,-1
idle,126,140,0 1 2 3,-1
idle,140,141,0 1,-1
switching_off,140,141,2 3,-2
computing,141,158,0 1,9
switching_off,141,145,2 3,-2
sleeping,145,147,2 3,-4
switching_on,147,152,2 3,-3
computing,152,171,2 3,10
idle,158,171,0 1,-1
idle,171,188,0 1 2 3,-1
switching_off,188,193,0 1,-2
idle,188,193,2 3,-1
sleeping,193,201,0 1,-4
idle,193,201,2 3,-1
sleeping,201,206,0 1,-4
switching_off,201,206,2 3,-2
sleeping,206,206,0 1 2 3,-4
